ID,Name,Category,Salary,Count,Price
90-1634534,Toinette Glencrash,A,$860.44,28,$1.35
34-5872839,Ban Branford,A,$905.99,24,$3.69
58-2779834,Dora Cotta,B,$350.53,45,$38.00
95-7538777,Piper Salatino,A,$994.16,31,$8.36
04-5580973,Renata Nealon,D,$897.74,48,$3.19
70-6304241,Dulce Nerheny,B,$642.22,6,$22.14
42-0065280,Crystie Pedrozzi,,$791.97,35,$15.87
53-3706440,Lenore Brumpton,C,$982.22,29,$7.52
43-8488790,Josiah Cona,D,$578.96,45,$46.15
90-0969656,Ollie Sealand,D,$626.26,24,$39.06
96-8773619,Terri Pettifer,B,$837.51,50,$24.65
60-9144422,Avie Kuban,A,$198.92,44,$8.36
77-1979845,Artemas Stolberger,A,$199.59,17,$16.45
84-5511203,Emmery Orht,,$873.07,24,$11.68
72-7715414,Frasier Youles,C,$811.19,46,$24.59
60-4644293,Liesa Jancar,,$807.91,38,$36.70
99-4824231,Verine Sparkwill,C,$729.71,42,$28.47
33-2034276,Meggie Lafont,D,$113.35,50,$4.70
71-0476675,Cornelia O'Dwyer,A,$982.94,41,$15.17
37-3256139,Barnabas Ackerley,D,$134.91,21,$10.86
78-1427954,Daffie D'Oyley,C,$656.77,42,$26.33
87-9892118,Leanora Kurdani,D,$176.33,24,$33.61
34-6149200,Michail Hills,D,$910.01,38,$4.00
15-8108779,Riordan Jagger,,$417.14,34,$47.05
43-0113585,Anitra Palfree,B,$566.42,4,$7.39
12-0057682,Karry Atyea,D,$857.92,9,$33.06
64-5092829,Ulrick Phillips,,$695.88,12,$39.83
25-3915063,Clifford Batrim,B,$550.70,31,$8.22
42-3631276,Tarah Ceillier,C,$785.31,30,$40.06
49-8962636,Samuele Fitch,A,$270.94,43,$48.56
97-9779400,Creighton Skakunas,A,$810.55,36,$40.40
35-9657450,Yanaton McMickan,A,$228.38,3,$39.98
52-6691752,Dory Durrell,B,$969.01,12,$1.29
05-0226971,Conrad MacCallister,,$937.03,14,$39.63
11-3242591,Stefan Angeau,A,$744.48,15,$45.89
16-1269254,Cindee Lowndsbrough,,$291.71,29,$41.93
07-8993543,Tomi Armatidge,A,$750.14,43,$41.38
03-0301673,Warde Willowby,C,$842.57,18,$22.49
73-3853503,Fabio Broadis,B,$900.35,36,$12.38
02-4028637,Micki Service,D,$215.31,26,$11.71
49-5316222,Bridie Micklem,D,$146.52,30,$40.65
83-5928638,Brody Boshier,D,$942.02,6,$32.53
98-2479210,Berty Bartelli,C,$467.74,36,$43.87
20-8400709,Burnard Belcham,D,$598.71,11,$33.88
78-1250127,Cecil Robens,C,$986.95,1,$2.62
19-9621233,Lynna Bartolini,C,$438.54,36,$7.22
72-2114940,Perrine Daniell,B,$890.09,36,$13.02
32-7149615,Valry Howden,A,$384.55,27,$41.22
82-2386524,Phaedra Gallichan,A,$333.13,50,$12.52
20-8950960,Mitch Dearnaley,B,$362.23,31,$23.87
12-8817500,Gannie Bezzant,C,$292.60,42,$18.83
39-4710828,Valencia Hyne,C,$463.79,46,$49.12
88-2347677,Hannie D'Ambrosi,,$422.12,1,$41.77
30-3765180,Josh Severs,C,$465.39,23,$19.80
