ID,Fname,Lname,Department,Money,HasDiploma
84-8725496,Christy,Darrigoe,бухгалтеры,$69537.84,false
43-7488475,Ulrich,Himsworth,инженеры,$46446.33,false
78-5637374,Arlena,Manktelow,программисты,$39916.04,false
02-2512795,Karee,Merton,бухгалтеры,$2312.87,false
18-5526133,Berte,McNess,инженеры,$78445.03,true
93-9635216,Hewie,Measor,инженеры,$30406.92,false
39-3051509,Analise,Domenicone,инженеры,$42266.04,true
89-2538733,Chauncey,Shegog,программисты,$1119.04,false
85-3245238,Aldin,Warham,бухгалтеры,$30402.34,false
53-6065993,Lydia,O'Lyhane,программисты,$79067.12,true
53-4922240,Estelle,Palser,бухгалтеры,$96737.16,false
37-6136174,Lucy,McPhilemy,инженеры,$11336.84,false
87-1308809,Forster,Laurenceau,бухгалтеры,$3944.50,false
40-6913787,Lovell,Benneyworth,программисты,$64829.49,false
06-9058109,Corbet,Shawcroft,программисты,$64609.03,true
71-8294864,Berrie,Baitey,программисты,$45955.38,true
04-6797201,Maureene,Eisig,инженеры,$70634.61,true
43-3633890,Deni,Havelin,инженеры,$70376.19,false
13-5063819,Cirilo,Biasetti,программисты,$96052.13,false
54-1769714,Xena,Ferrarin,инженеры,$53271.85,true
12-2672021,Marj,Sket,инженеры,$45465.99,true
49-0346896,Ashleigh,Mateja,инженеры,$27439.82,true
44-5046038,Josephina,Estevez,инженеры,$48199.57,true
66-6209320,Inglis,Tremmil,бухгалтеры,$1338.65,false
73-6904666,Margalit,Trussler,программисты,$81021.07,true
18-7674897,Chrissy,Delacourt,программисты,$48340.11,true
93-3519899,Madonna,Gherardesci,инженеры,$24072.43,true
72-8763693,Kris,Creggan,программисты,$35583.64,true
74-9050295,Bidget,Motto,программисты,$19274.08,true
12-4100563,Row,Shatliffe,программисты,$61792.18,false
75-3164512,Mona,Flanaghan,программисты,$57245.33,true
00-9059991,Addi,Heindle,инженеры,$76650.20,false
57-0051395,Gianni,Henri,инженеры,$42517.42,false
32-9952391,Christie,Scothorn,программисты,$28633.50,true
31-0806188,Peyton,Zammett,инженеры,$59912.45,true
98-4931856,Rudd,Dimitriou,бухгалтеры,$20442.76,true
51-1364116,Buck,Lindfors,бухгалтеры,$56896.11,false
89-5491475,Rana,Sandercock,инженеры,$26186.49,false
11-4176740,Towney,Kitchen,бухгалтеры,$44870.68,false
46-8442286,Dickie,Girvan,программисты,$53995.45,true
