PersonID,login,password,salary,Department,HasFamily,HasCar,HasPet
09-2508258,mchilton0,wkiwitz0,$3398.79,A,false,true,false
24-8047065,gdimmer1,dedens1,$2403.63,A,false,true,false
14-6354648,,pbaldree2,$2769.97,C,false,true,true
61-7850814,vdelacote3,,$4360.56,C,true,true,false
07-7326659,,bbrosel4,$1284.85,D,false,true,false
82-6571512,,lferrari5,$1460.04,D,false,false,false
69-7866190,rlotherington6,jbaldassi6,$8686.05,B,false,true,true
24-9405480,fogger7,idreier7,$3347.40,C,false,true,false
15-1301121,,jlillico8,$4399.93,B,true,false,false
29-7727664,vhirth9,jferney9,$8816.85,C,false,false,true
24-1214932,,ngrayshana,$8196.44,C,true,true,false
01-3422387,,rmccartb,$1101.81,A,true,true,false
05-2560229,musbornc,ccrightonc,$4354.04,D,true,true,false
34-6082869,iboylundd,vkerstingd,$176.94,D,false,true,false
85-6248396,mplewrighte,erawoode,$1049.56,B,false,false,true
43-5681323,,,$4666.11,A,true,false,true
57-5584706,dtomaskunasg,apymerg,$6187.83,D,true,false,false
55-4978822,,dbaldonih,$3496.70,A,true,true,true
10-8772893,cdowdeswelli,achurchousei,$1422.82,B,true,true,false
62-5986994,gquodlingj,,$8775.87,D,false,false,false
51-1157098,cumbersk,jlapthornk,$233.26,B,false,false,true
55-7814555,jjallinl,,$9068.95,C,false,false,false
94-7497501,fwestmancoatm,vluppittm,$5320.44,B,true,false,false
10-9940976,,sbernardesn,$345.78,D,true,false,true
25-7207065,,ssemarkeo,$7302.14,C,true,true,false
31-4280705,,jfrowdp,$4547.40,A,false,false,false
04-7782213,,ngorckeq,$5928.20,C,true,false,true
47-9442974,,mfernaor,$4007.15,D,false,false,true
28-8339868,mzanettinis,woyletts,$9391.51,A,true,false,true
93-2820038,lvaseyt,rtwinberrowt,$7120.27,D,false,false,false
64-9287174,gguitonneauu,agullenu,$9040.10,A,false,true,false
35-9165097,alobellv,tgrafhamv,$8902.54,D,false,false,false
36-6888469,,fdumpletonw,$2915.27,A,true,false,false
28-1250711,,ctobinx,$1810.10,B,false,false,false
17-0317832,vsommerledy,,$7986.96,B,false,false,false
78-0357716,mbittertonz,bguntonz,$718.46,B,true,true,true
62-8826430,komurtagh10,,$1840.03,D,false,false,true
32-2799587,lhalley11,,$1851.28,A,false,true,true
75-3735293,,gruusa12,$7476.04,A,false,false,true
71-2451554,,glimbert13,$3479.17,D,true,false,true
83-2850575,lvallis14,vpaler14,$2033.68,B,false,true,false
62-3411350,,dast15,$4495.19,B,true,false,false
44-5736012,,swardell16,$4098.85,C,true,true,true
04-8730113,ebagger17,mlaingmaid17,$6322.58,A,true,false,false
79-8565215,rtoman18,bmeier18,$6446.23,D,true,false,false
99-9264706,gcreed19,mmcconnulty19,$3436.93,B,false,false,true
59-2553825,dbagg1a,cgehringer1a,$5066.39,A,false,false,false
16-8361838,ledgeon1b,mroyan1b,$8913.34,C,false,true,false
68-7807858,chucke1c,hdenzilow1c,$8630.38,C,false,false,false
63-6688107,aenevoldsen1d,chugle1d,$7892.96,C,false,false,false
77-6468199,dmccoughan1e,dmelia1e,$656.05,C,true,true,false
69-7079193,swilse1f,,$6629.56,D,true,true,false
48-9322912,,tgatehouse1g,$7697.25,D,false,false,false
77-7737498,mphetteplace1h,jfayerbrother1h,$320.88,D,false,false,true
97-1181556,,llownes1i,$9434.57,C,true,true,false
64-8060110,sthripp1j,hvyse1j,$2820.58,A,false,false,false
38-8053565,lbailiss1k,llafay1k,$5231.32,A,true,true,true
97-0670946,gvelareal1l,ctrimble1l,$227.11,C,true,true,true
72-0074504,asemkins1m,,$4365.90,C,true,true,false
92-9439979,pstolli1n,avasler1n,$8449.15,B,true,false,false
57-5908176,cscotti1o,mgrenshields1o,$4968.10,A,false,false,true
49-6852996,psturm1p,lallberry1p,$3011.19,B,true,false,true
77-5963881,,rbradforth1q,$4594.42,D,false,true,true
78-7887259,,ldonati1r,$7832.42,D,false,false,false
61-8665276,vstodd1s,vhobbing1s,$9137.72,C,false,true,false
19-8415642,elahiff1t,kpeacock1t,$8624.59,A,false,false,false
03-4270793,gjelkes1u,bhacaud1u,$2561.87,B,true,false,false
88-6078075,psmitherham1v,jcerith1v,$9993.64,A,false,false,true
91-1326599,ceefting1w,lgerlack1w,$8934.76,A,true,false,true
94-5231763,emilstead1x,cjellings1x,$9062.30,C,true,true,false
69-2754348,emanjot1y,odunseith1y,$7367.57,A,true,true,true
90-7235184,jcadwallader1z,rrobardet1z,$6549.08,C,false,false,false
92-9883304,rorniz20,ggoodband20,$1909.77,A,true,true,true
63-2992732,,dwhatmough21,$7199.54,A,true,false,false
42-0354511,hmarsden22,ldegregario22,$8448.63,D,false,true,false
79-6409942,,phugnot23,$5414.36,B,true,true,false
25-9400744,chanssmann24,,$7538.54,C,false,false,false
48-7349487,,esly25,$7315.22,A,false,false,true
00-5375139,bfeore26,isoro26,$3714.77,D,true,true,false
81-7432572,ifilyukov27,esabate27,$4874.45,C,true,false,true
00-7825979,mnibley28,gceeley28,$8992.69,D,false,false,false
98-8007821,hhoggins29,dyurtsev29,$4129.49,A,false,false,false
44-7793694,gbousquet2a,crabbe2a,$3147.86,A,true,false,true
60-5057118,,warmell2b,$9055.12,C,false,true,true
27-4161730,,mmitro2c,$3628.80,A,true,true,true
80-7717012,tgoldsby2d,gkingstne2d,$4071.49,D,true,false,false
63-8194910,abaulcombe2e,lschultze2e,$3108.25,D,false,false,false
22-2290304,,lferencowicz2f,$4339.15,B,true,true,false
85-5583910,,lledbury2g,$3160.43,C,true,false,true
20-1113992,abroadwood2h,,$2531.93,C,false,false,true
88-2803055,llowy2i,rpearl2i,$3163.12,B,true,true,false
70-4633551,,lsivyer2j,$3137.15,B,true,true,true
42-3317899,castell2k,elibby2k,$3545.89,A,true,false,true
62-9026398,twyd2l,iinsull2l,$8527.58,B,false,false,true
10-0995807,efishpond2m,pnoli2m,$4190.82,A,true,false,false
60-0932159,,sakhurst2n,$3812.93,B,false,true,true
24-3830241,lhynde2o,jcoppard2o,$6325.48,C,true,false,false
51-2043797,gralfe2p,cebbage2p,$4983.83,A,true,true,false
31-5019328,aheineke2q,cstiell2q,$4330.93,B,true,false,false
88-2324550,gyeo2r,fauchterlony2r,$315.32,D,false,true,true
68-9931515,rcornely2s,aivan2s,$9294.88,B,true,false,false
42-3930586,hellam2t,dburgwin2t,$2341.63,B,true,true,false
45-7880588,fbales2u,jmuslim2u,$2521.44,D,true,true,true
27-1349073,,dstrettle2v,$7989.75,D,true,false,true
86-2812693,gbowling2w,kteece2w,$4539.38,A,true,true,false
70-1412276,,twrixon2x,$8648.86,C,false,true,true
07-6973589,,chaszard2y,$831.69,C,false,true,true
61-7775592,jwestwood2z,vbondy2z,$9866.99,C,false,false,true
88-6029174,whedaux30,krounds30,$9577.46,D,true,true,false
31-4332461,fgoulding31,lharriagn31,$8532.45,A,true,true,true
32-8306734,kscolts32,lkloisner32,$4675.03,B,true,true,true
61-9155971,,cnolin33,$6414.08,C,true,true,false
97-6227751,flau34,llidgard34,$1745.59,D,true,false,false
65-2742777,rfilipczynski35,obodd35,$8214.53,A,true,false,false
43-5172403,,,$6674.27,B,true,true,true
86-7301021,,evial37,$5805.37,D,true,true,false
21-5502579,jpallent38,,$2943.51,B,false,true,true
19-0717393,,rgribbon39,$9385.80,D,true,false,false
99-4585600,bhammerson3a,fcaldera3a,$2434.03,D,true,true,false
